"Type of Project Owner","Administration","Type of External Services","Region","Divisional","Budgetary year","Project description","Type of service","Provisionary amount of contract","Project owner","Method of tendering","Launching date","Date of attribution of contract","Date of signing of contract","Date of start-off of work","Date of receipt of services"
"1","14","0","0","0","2016","Ville de Mgambe-Tikar : Travaux délectrification rurale","AI","162 000 000","MINEE","AONO","15/01/2016","09/03/2016","29/03/2016","18/04/2016","18/07/2016"
"1","14","0","0","0","2016","Etude relative à la construction dune station de dépotage de boues de vidange dans la ville de Yaoundé","SPI","45 000 000","MINEE","AONR","11/01/2016","11/03/2016","30/03/2016","18/04/2016","18/07/2016"
"1","14","0","0","0","2016","Conception et réalisation dun système dinformation sur lEau","SPI","50 000 000","MINEE / VISA MINMAP","AONR","08/01/2016","11/03/2016","06/04/2016","25/04/2016","25/07/2016"
"1","28","0","0","0","2016","Acquisition du matériel informatique pour les services départementaux, Lot 3","AG","22 000 000","MINPROFF","AONO","09/02/2018","01/04/2018","20/04/2018","02/05/2018","02/06/2018"
"1","28","0","0","0","2016","Acquisition du matériel informatique pour les services régionaux, Lot 2","AG","22 000 000","MINPROFF","AONO","09/02/2017","01/04/2017","20/04/2017","02/05/2017","02/06/2017"
"1","28","0","0","0","2016","Acquisition du matériel informatique pour les services centraux, Lot 1","AG","25 000 000","MINPROFF","AONO","09/02/2016","01/04/2016","20/04/2016","02/05/2016","02/06/2016"
"1","28","0","0","0","2016","Acquisition du materiel agricole à octroyer aux femmes","AG","30 000 000","MINPROFF","DC","09/02/2016","11/03/2016","30/03/2016","11/04/2016","11/05/2016"
"1","28","0","0","0","2016","Elaboration de la politique nationale de l'entrepreneuriat féminin","SPI","20 000 000","MINPROFF","AONR","10/02/2016","13/04/2016","03/05/2016","16/05/2016","16/08/2016"
"1","28","0","0","0","2016","Etude pour la mise en place des Centres d'Acceuil","SPI","15 000 000","MINPROFF","AONR","10/02/2016","13/04/2016","03/05/2016","16/05/2016","16/08/2016"
"1","28","0","0","0","2016","Equipement du bâtiment SS/ R+3 en mobilier de bureau","AG","100 000 000","MINPROFF / VISA MINMAP","AONO","03/02/2016","28/03/2016","22/04/2016","04/05/2016","03/06/2016"
"1","28","0","0","0","2016","Acquisition de 06 motos","AG","12 000 000","MINPROFF","AONO","03/02/2016","28/03/2016","15/04/2016","27/04/2016","27/05/2016"
"1","28","0","0","0","2016","Acquisition de 2 vehicules 4x4 pour les missions à l'interieur","AG","50 000 000","MINPROFF","AONO","03/02/2016","28/03/2016","15/04/2016","27/04/2016","27/05/2016"
"1","28","0","0","0","2016","Elaboration d'une politique nationale des droits de l'enfant","SPI","15 000 000","MINPROFF","AONR","01/02/2016","01/04/2016","20/04/2016","02/05/2016","02/08/2016"
"1","19","0","0","0","2016","Refonte du portail web","SPI","35 000 000","MINFOPRA","AONR","05/02/2016","08/04/2016","27/04/2016","09/05/2016","09/08/2016"
"1","19","0","0","0","2016","Elaboration dun schéma directeur informatique du MINFOPRA","SPI","42 477 000","MINFOPRA","AONR","05/02/2016","08/04/2016","27/04/2016","09/05/2016","09/11/2016"
"1","19","0","0","0","2016","Acquisition de Trois (03) photocopieurs","AG","49 950 000","MINFOPRA","DC","18/01/2016","19/02/2016","09/03/2016","21/03/2016","23/05/2016"
"1","19","0","0","0","2016","Acquisition de 20 micro-ordinateurs","AG","30 000 000","MINFOPRA","DC","18/01/2016","19/02/2016","09/03/2016","21/03/2016","21/04/2016"
"1","19","0","0","0","2016","Conception et édition de la stratégie de production des informations statistiques du MINFOPRA","SPI","50 000 000","MINFOPRA / VISA MINMAP","AONR","03/02/2016","06/04/2016","26/04/2016","09/05/2016","09/11/2016"
"1","19","0","0","0","2016","Elaboration du guide méthodologique des procédures techniques","SPI","30 000 000","MINFOPRA","AONR","03/02/2016","06/04/2016","26/04/2016","09/05/2016","09/12/2016"
"1","19","0","0","0","2016","Dématérialisation des procédures administratives effectuées dans 10 administrations","SPI","50 000 000","MINFOPRA / VISA MINMAP","AONR","03/02/2016","06/04/2016","26/04/2016","09/05/2016","09/12/2016"
"1","19","0","0","0","2016","Implémentation des normes dans les administrations","SPI","80 000 000","MINFOPRA / VISA MINMAP","AONR","01/02/2016","01/04/2016","27/04/2016","09/05/2016","09/12/2016"
"1","38","0","0","0","2016","Suite des travaux d'amenagement d'un studio de montage  audio-visuel à la DGSN","BEC","10","DGSN","AONO","21/03/2016","13/05/2016","03/06/2016","23/06/2016","23/12/2016"
"1","38","0","0","0","2016","Maitrise d'oeuvre suite des Travaux de réhabilitation du garage Central de la DGSN","SPI","11","DGSN","AONR","29/02/2016","29/04/2016","18/05/2016","07/06/2016","06/01/2017"
"1","38","0","0","0","2016","Suite des Travaux de réhabilitation du garage Central de la DGSN","BEC","250","DGSN / VISA MINMAP","AONO","14/03/2016","06/05/2016","01/06/2016","21/06/2016","21/12/2016"
"1","38","0","0","0","2016","Achèvement des travaux de construction de l'Hôtel de Police de Bandjoun, aménagement extérieur plus clôture","BEC","50","DGSN","AONO","14/03/2016","06/05/2016","25/05/2016","14/06/2016","14/12/2016"
"1","38","0","0","0","2016","Contrôle des travaux de construction d'un immeuble R+2 au camp berteau à Douala (projet de construction de l'hôpital de 72 lits)","BEC","13","DGSN","AONR","29/02/2016","29/04/2016","18/05/2016","07/06/2016","07/03/2017"
"1","38","0","0","0","2016","Travaux de construction d'un immeuble R+2 au camp bertaud à Douala (projet de construction de l'hôpital de 72 lits)","BEC","250","DGSN / VISA MINMAP","AONO","29/02/2016","22/04/2016","18/05/2016","07/06/2016","07/02/2017"
"1","38","0","0","0","2016","Travaux supplémentaires de réfection des bâtiments A et B du Centre Médical de Yaoundé","BEC","49","DGSN","AONO","29/02/2016","22/04/2016","11/05/2016","31/05/2016","31/01/2017"
"1","38","0","0","0","2016","Suite des travaux de construction du Groupement Régional de la Voie Publique et de la Circulation du Littoral","BEC","100","DGSN","AONO","17/02/2016","11/04/2016","29/04/2016","19/05/2016","19/01/2017"
"1","38","0","0","0","2016","Suite des travaux de finition de la clôture et aménagement de la cours du Commissariat de Sécurité Publique de Molyko-Buea","BEC","65","DGSN","AONO","09/02/2016","01/04/2016","20/04/2016","10/05/2016","10/11/2016"
"1","38","0","0","0","2016","Travaux de construction du Commissariat de Sécurité Publique de Bangou","BEC","52","DGSN","AONO","09/02/2016","01/04/2016","20/04/2016","10/05/2016","10/11/2016"
"1","38","0","0","0","2016","controle des travaux de construction du commissariat de sécurité publique d'Akono","SPI","13","DGSN","AONR","09/02/2016","13/04/2016","03/05/2016","24/05/2016","23/12/2016"
"1","16","0","0","0","2016","Assurance de groupe des personnels des Services Centraux du MINESUP","SPI","13 000 000","MINESUP","DC","28/01/2016","26/02/2016","11/03/2016","28/03/2016","28/12/2016"
"1","16","0","0","0","2016","Entretien et maintenance des machines et matériels techniques","SPI","13 000 000","MINESUP","DC","28/01/2016","26/02/2016","11/03/2016","28/03/2016","28/12/2016"
"1","16","0","0","0","2016","Entretien ordinaire des bâtiments","SPI","35 000 000","MINESUP","DC","28/01/2016","26/02/2016","11/03/2016","28/03/2016","28/12/2016"
"1","16","0","0","0","2016","Mise en place des activités de gouvernance du programme : Mise en place d'un dispositif de suivi-évaluation","SPI","20 000 000","MINESUP","AONR","08/02/2016","24/03/2016","08/04/2016","25/04/2016","24/06/2016"
"1","16","0","0","0","2016","Extension du SIGIPES dans les Universités d'Etat (Université de Bamenda) : Achat et pose des équipements","AG","35 000 000","MINESUP","AONO","28/01/2016","07/03/2016","21/03/2016","07/04/2016","07/06/2016"
"1","16","0","0","0","2016","Développement des ressources matérielles dans les Services Centraux du MINESUP : Acquisition des véhicules","AG","60 000 000","MINESUP","AONO","31/12/2015","08/02/2016","22/02/2016","10/03/2016","11/04/2016"
"1","16","0","0","0","2016","Développement des ressources matérielles dans les Services Centraux du MINESUP : Acquisition des équipements informatiques","AG","30 000 000","MINESUP","DC","28/01/2016","26/02/2016","11/03/2016","28/03/2016","27/05/2016"
"1","16","0","0","0","2016","Développement des ressources matérielles dans les Services Centraux du MINESUP : Acquisition des mobiliers et autres logistiques des Services Centraux","AG","30 000 000","MINESUP","AONO","28/01/2016","07/03/2016","21/03/2016","07/04/2016","07/06/2016"
"1","16","0","0","0","2016","Opérationnalisation de lUniversité Inter-Etats Sangmélima-Ouesso (Cameroun-Congo) : Réhabilitation des bâtiments du collège Notre Dame","BEC","30 000 000","MINESUP","DC","01/02/2016","04/03/2016","23/03/2016","11/04/2016","26/05/2016"
"1","16","0","0","0","2016","Opérationnalisation de lUniversité Inter-Etats Sangmélima-Ouesso (Cameroun-Congo) : Etudes géotechniques et topographiques à Lobo Yat","SPI","50 000 000","MINESUP / VISA MINMAP","AONR","08/02/2016","24/03/2016","15/04/2016","02/05/2016","16/06/2016"
"1","16","0","0","0","2016","Opérationnalisation de lUniversité Inter-Etats Sangmélima-Ouesso (Cameroun-Congo) : Etudes environnementatles à Lobo Yat","SPI","50 000 000","MINESUP / VISA MINMAP","AONR","08/02/2016","24/03/2016","15/04/2016","02/05/2016","16/06/2016"
"1","16","0","0","0","2016","Etudes, constructions et équipement de l'Université PanAfricaine : Maitrise d'oeuvre construction de l'Université PanAfricaine","SPI","30 000 000","MINESUP","AONR","08/12/2016","19/01/2017","03/02/2017","20/02/2017","20/03/2019"
"1","16","0","0","0","2016","Constructions et équipement de l'Université PanAfricaine : Construction de l'Université PanAfricaine","BEC","300 000 000","MINESUP / VISA MINMAP","AONO","08/12/2016","16/01/2017","06/02/2017","23/02/2017","22/02/2019"
"1","16","0","0","0","2016","Etudes, constructions et équipement de l'Université PanAfricaine : Etudes architecturales et techniques pour la construction de l'Université PanAfricaine","SPI","100 000 000","MINMAP","AONR","25/07/2016","08/09/2016","23/09/2016","10/10/2016","24/11/2016"
"1","16","0","0","0","2016","Etudes, constructions et équipement de l'Université PanAfricaine : Etudes environnementales pour la construction de l'Université PanAfricaine","SPI","20 000 000","MINESUP","AONR","08/02/2016","24/03/2016","08/04/2016","25/04/2016","09/06/2016"
"1","16","0","0","0","2016","Etudes, constructions et équipement de l'Université PanAfricaine : Etudes géotechniques et topographiques du site de Nsimalen pour la construction de l'Université PanAfricaine","SPI","25 000 000","MINESUP","AONR","08/02/2016","24/03/2016","08/04/2016","25/04/2016","09/06/2016"
"1","16","0","0","0","2016","Opérationnalisation des annexes FSJP de Bertoua et Ebolowa : Etudes géotechniques","SPI","15 000 000","MINESUP","AONR","08/02/2016","24/03/2016","08/04/2016","25/04/2016","09/06/2016"
"1","24","0","0","0","2016","Maitrise duvre des tavaux de construction du palais de justice de Nanga-Eboko","SPI","25 000 000","MINJUSTICE","GG","GRE A GRE","10/12/2015","10/07/2017","",""
"1","24","0","0","0","2016","Tavaux de construction du palais de justice de Nanga-Eboko","BEC","200 000 000","MINJUSTICE","GG","GRE A GRE","10/12/2015","09/06/2017","",""
"1","24","0","0","0","2016","Réhabilitation du bâtiment central de la chancellerie","BEC","85 000 000","MINJUSTICE","AONO","05/04/2016","26/04/2016","26/10/2017","",""
"1","24","0","0","0","2016","Maitrise duvre des travaux de construction de la prison de Bengbis","SPI","60 000 000","MINMAP","AONR","13/04/2016","03/05/2016","03/05/2018","",""
"1","24","0","0","0","2016","Acquisition du materiel informatique pour les juridictions disposant des amenagements electriques et des reseaux informatiques (Centre, Nord, Ouest, Adamaoua, Littoral)","AG","200 000 000","MINJUSTICE / VISA MINMAP","AONO","15/04/2016","05/05/2016","03/08/2016","",""
"1","24","0","0","0","2016","Acquisition des effets dhabillements des personnels de ladministration pénitentiaire","AG","160 000 000","MINJUSTICE","AONO","13/04/2016","03/05/2016","03/11/2016","",""
"1","24","0","0","0","2016","Etudes architecturales, techniques et géotechniques pour la construction du palais de justice de Bengbis","SPI","40 000 000","MINJUSTICE","AONR","10/05/2016","31/05/2016","30/11/2017","",""
"1","24","0","0","0","2016","Etudes architecturales, techniques et géotechniques pour la construction de la cour dappel du Sud","SPI","40 000 000","MINJUSTICE","AONR","10/05/2016","31/05/2016","30/11/2017","",""
"1","24","0","0","0","2016","Etudes architecturales, techniques et géotechniques pour la construction du palais de justice de Monatélé","SPI","40 000 000","MINJUSTICE","AONR","04/05/2016","24/05/2016","24/11/2017","",""
"1","24","0","0","0","2016","Etudes architecturales, techniques et geotechniques pour la construction du palais de justice de Yokadouma","SPI","40 000 000","MINJUSTICE","AONR","04/05/2016","24/05/2016","24/11/2017","",""
"1","24","0","0","0","2016","Etudes architecturales, techniques et géotechniques pour la construction du palais de justice de Bangem","SPI","40 000 000","MINJUSTICE","AONR","04/05/2016","24/05/2016","24/11/2017","",""
"1","24","0","0","0","2016","Achat des groupes électrogenes","AG","200 000 000","MINJUSTICE","AONO","20/04/2016","10/05/2016","10/08/2016","",""
"1","24","0","0","0","2016","Travaux de rehabilitation de la cour dappel de Maroua","BEC","40 000 000","MINJUSTICE","AONO","30/03/2016","19/04/2016","19/12/2016","",""
"1","24","0","0","0","2016","Reprise des travaux de construction de la prison secondaire de Bengbis","BEC","700 000 000","MINMAP","AONO","08/04/2016","28/04/2016","29/04/2019","",""
"1","24","0","0","0","2016","Maitrise duvre des travaux de construction du palais de justice de Mbalmayo","SPI","20 000 000","MINJUSTICE","AONO","EN COURS D'EXECUTION","07/01/2015","07/02/2018","",""
"1","24","0","0","0","2016","Travaux de construction du palais de justice de Mbalmayo","BEC","100 000 000","MINJUSTICE","AONO","EN COURS D'EXECUTION","07/01/2015","08/01/2018","",""
"1","24","0","0","0","2016","Poursuite des travaux de construction de la prison secondaire de bali","BEC","70 000 000","MINJUSTICE","GG","GRE A GRE","11/06/2014","12/06/2017","",""
"1","24","0","0","0","2016","Contrôle technique et garantie decennale des travaux de construction du complexe moderne des services judiciaires","SPI","10 000 000","MINMAP","GG","GRE A GRE","29/04/2015","30/04/2018","",""
"1","24","0","0","0","2016","Contrôle geotechnique des travaux du complexe des services judiciaires","SPI","20 000 000","MINMAP","GG","GRE A GRE","23/09/2015","24/09/2018","",""
"1","24","0","0","0","2016","Maitrise duvre des travaux contruction du complexe moderne des services judiciaires","SPI","80 000 000","MINMAP","AOIR","EN COURS D'EXECUTION","15/09/2014","16/10/2017","",""
"1","24","0","0","0","2016","Travaux de contruction du complexe moderne des services judiciaires","BEC","700 000 000","MINMAP","AOIO","EN COURS D'EXECUTION","11/09/2014","11/09/2017","",""
"1","24","0","0","0","2016","Maitrise duvre des travaux de construction de la prison centrale de douala-ngoma","SPI","50 000 000","MINMAP","AONO","EN COURS D'EXECUTION","11/01/2016","12/02/2019","",""
"1","24","0","0","0","2016","Travaux de construction de la prison centrale de douala-ngoma","BEC","500 000 000","MINMAP","AONO","EN COURS D'EXECUTION","11/01/2016","10/01/2019","",""
"1","24","0","0","0","2016","Maitrise duvre des travaux dextension du batiment central du minjustice","SPI","30 000 000","MINMAP","AONO","EN COURS D'EXECUTION","10/01/2014","10/02/2017","",""
"1","34","0","0","0","2016","Achat des antivirus dans le cadre de la sécurisation du parc informatique","AG","15 000 000","MINTOUL","DC","17/02/2016","21/03/2016","08/04/2016","27/04/2016","27/05/2016"
"1","34","0","0","0","2016","Acquisition des climatiseurs","AG","10 000 000","MINTOUL","DC","17/02/2016","21/03/2016","08/04/2016","27/04/2016","27/05/2016"
"1","34","0","0","0","2016","Acquisition du matériel informatique et réseau","AG","15 000 000","MINTOUL","DC","15/02/2016","18/03/2016","06/04/2016","25/04/2016","25/05/2016"
"1","34","0","0","0","2016","Acquisition des mobiliers et matériels de bureau","AG","20 000 000","MINTOUL","DC","15/02/2016","18/03/2016","06/04/2016","25/04/2016","24/06/2016"
"1","34","0","0","0","2016","Acquisition d'un véhicule pour les responsables des services centraux","AG","25 000 000","MINTOUL","AONO","11/04/2016","03/06/2016","22/06/2016","11/07/2016","11/08/2016"
"1","34","0","0","0","2016","Construction de la station nautique de Lagdo: fourniture des pédalos","AG","30 000 000","MINTOUL","AONO","15/02/2016","08/04/2016","27/04/2016","16/05/2016","16/11/2016"
"1","34","0","0","0","2016","Construction du Parc de Loisirs d'Ebolowa: fourniture des toilettes publiques","AG","25 000 000","MINTOUL","AONO","15/02/2016","08/04/2016","27/04/2016","16/05/2016","16/11/2016"
"1","34","0","0","0","2016","Mise en place de l'infrastructure réseau dans trois Délégations Régionnales du Tourisme et des Loisirs","AI","35 000 000","MINTOUL","AONO","08/02/2016","01/04/2016","20/04/2016","09/05/2016","09/08/2016"
"1","34","0","0","0","2016","Elaboration de l'annuaire des statistique du tourisme et des loisirs","SPI","35 000 000","MINTOUL","AONR","29/02/2016","29/04/2016","18/05/2016","06/06/2016","06/10/2016"
"1","34","0","0","0","2016","Etude APD et géotechnique pour la construction des blocs pédagogiques et administratifs de l'Ecole de Formation de Référence en Tourisme, Hôtellerie et Loisirs","SPI","75 000 000","MINTOUL / VISA MINMAP","AONR","29/02/2016","29/04/2016","25/05/2016","13/06/2016","13/12/2016"
"1","34","0","0","0","2016","Mise en place des normes de sécurité dans le cadre de la vulgarisation des mésures de sécurité dans le secteur du tourisme et des loisirs","SPI","30 000 000","MINTOUL","AONR","29/02/2016","29/04/2016","18/05/2016","06/06/2016","06/09/2016"
"1","34","0","0","0","2016","Elaboration de la stratégie de développement des loisirs au Cameroun (phase II)","SPI","50 000 000","MINTOUL / VISA MINMAP","AONR","22/02/2016","22/04/2016","18/05/2016","06/06/2016","06/09/2016"
"1","34","0","0","0","2016","Contrôle technique pour la construction du Centre Touristique de Meyomessala","SPI","35 000 000","MINTOUL","AONR","18/02/2016","31/03/2016","15/04/2016","02/05/2016","02/12/2016"
"1","34","0","0","0","2016","Maitrise d'oeuvre pour la construction d'un centre Touristique de Meyomessala","SPI","65 000 000","MINTOUL / VISA MINMAP","AONR","18/02/2016","31/03/2016","22/04/2016","09/05/2016","09/12/2016"
"1","0","0","0","2016","","5","","0","9","","06/05/2016","01/06/2016","13/06/2016","13/10/2016",""
"1","0","0","0","2016","","4","","0","9","","06/04/2016","26/04/2016","09/05/2016","08/07/2016",""
"1","0","0","0","2016","","4","","0","9","","13/04/2016","03/05/2016","16/05/2016","15/07/2016",""
"1","0","0","0","2016","","4","","0","9","","25/04/2016","13/05/2016","25/05/2016","24/06/2016",""
"1","0","0","0","2016","","7","","0","10","","01/06/2016","21/06/2016","04/07/2016","04/10/2016",""
"1","0","0","0","2016","","7","","0","10","","27/05/2016","15/06/2016","27/06/2016","27/09/2016",""
"1","11","0","0","0","2016","Fourniture des diplômes sécurisés au MINEDUB","AG","1 000 000 000","MINMAP","GG","GRE A GRE","GRE A GRE","GRE A GRE","GRE A GRE","GRE A GRE"
"1","11","0","0","0","2016","Fourniture des livres dEducation Civique et morale","AG","180 000 000","MINEDUB/Visa MINMAP","AONO","29/01/2016","23/03/2016","19/04/2016","02/05/2016","01/07/2016"
"1","11","0","0","0","2016","Equipement des Services Centraux en matériels de bureau","AG","15 000 000","MINEDUB","DC","18/01/2016","19/02/2016","09/03/2016","21/03/2016","21/04/2016"
"1","11","0","0","0","2016","Réalisation des Maintenances évolutives de lapplication GESPRO","SPI","10 000 000","MINEDUB","AONR","20/04/2016","22/06/2016","12/07/2016","25/07/2016","26/09/2016"
"1","11","0","0","0","2016","Equipement des Services Centraux en matériels informatiques et accessoires (Ordinateur complet, onduleur, surge, imprimante)","AG","15 000 000","MINEDUB","DC","18/01/2016","19/02/2016","09/03/2016","21/03/2016","21/04/2016"
"1","11","0","0","0","2016","Production des outils daide à la décision (annuaire statistique et rapport danalyse)","SPI","30 000 000","MINEDUB","AONO","13/07/2016","05/09/2016","23/09/2016","05/10/2016","04/11/2016"
"1","11","0","0","0","2016","Traitement et analyse des données : Masque de saisie, Codification, Saisie et apurement des données","SPI","40 000 000","MINEDUB","AONR","15/06/2016","17/08/2016","06/09/2016","19/09/2016","19/10/2016"
"1","11","0","0","0","2016","Réhabilitation de la salle informatique de la DPPC et son réseau informatique","BEC","18 387 000","MINEDUB","AONO","26/02/2016","20/04/2016","10/05/2016","23/05/2016","23/06/2016"
"1","11","0","0","0","2016","Conduite et évaluation nationale du recensement scolaire","SPI","30 000 000","MINEDUB","AONO","20/04/2016","13/06/2016","01/07/2016","13/07/2016","13/09/2016"
"1","11","0","0","0","2016","Conception et révision des questionnaires des écoles du Préscolaire et production des exemplaires (Lot 2)","SPI","20 000 000","MINEDUB","AONR","18/03/2016","23/05/2016","10/06/2016","22/06/2016","22/07/2016"
"1","11","0","0","0","2016","Conception et révision des questionnaires des écoles du Primaire et production des exemplaires (Lot 1)","SPI","30 000 000","MINEDUB","AONR","18/03/2016","23/05/2016","10/06/2016","22/06/2016","22/07/2016"
"1","11","0","0","0","2016","Equipement des EP en kits de micro sciences","AG","30 000 000","MINEDUB","GG","GRE A GRE","GRE A GRE","GRE A GRE","GRE A GRE","GRE A GRE"
"1","11","0","0","0","2016","Evaluation des besoins de création décoles sur lensemble du territoire national en lien avec laccès et les capacités de construction","SPI","30 000 000","MINEDUB","AONR","18/03/2016","23/05/2016","10/06/2016","22/06/2016","22/09/2016"
"1","0","0","0","2016","","7","","0","10","","29/04/2016","18/05/2016","30/05/2016","30/12/2016",""
"1","0","0","0","2016","","5","","0","9","","27/04/2016","24/05/2016","06/06/2016","06/12/2016",""
"1","10","0","0","7","2016","Diagnostic du Territoire de la Région du Nord-ouest (Lot 6)","","0","10","","13/07/2016","02/08/2016","16/08/2016","16/11/2016",""
"1","10","0","0","7","2016","Diagnostic du Territoire de la Région de louest (Lot 5)","","0","10","","13/07/2016","02/08/2016","16/08/2016","16/11/2016",""
"1","10","0","0","7","2016","Diagnostic du Territoire de la Région du Littoral (Lot 4)","","0","10","","13/07/2016","02/08/2016","16/08/2016","16/11/2016",""
"1","10","0","0","7","2016","Diagnostic du Territoire de la Région de lExtrême Nord (Lot 3)","","0","10","","13/07/2016","02/08/2016","16/08/2016","16/11/2016",""
"1","10","0","0","7","2016","Diagnostic du Territoire de la Région du Centre (Lot 2)","","0","10","","13/07/2016","02/08/2016","16/08/2016","16/11/2016",""
"1","10","0","0","7","2016","Diagnostic du Territoire de la Région de lAdamaoua (Lot 1)","","0","10","","13/07/2016","02/08/2016","16/08/2016","16/11/2016",""
